"Código Infração","Descrição da Infração","Art.CTB/Decreto","Infrator","Valor Real(R$)","Categoria","Medida Administrativa"
"6246-2","Transitar em veloc sup a máxima permitida para o local medida por instrumento hábil em vias locais quando a veloc for sup a máxima em mais de cinquenta por cento","218 , II , b","Condutor","574,62","Gravíssima",""
"6246-3","Transitar em veloc superior a máxima permitida para o local medida por instrumento hábil em estradas quando a veloc for superior a máxima em mais de cinquenta por cento.","218 , II , b","Condutor","574,62","Gravíssima",""
"6262-1","Deixar de reduzir a velocidade do veículo de forma compatível com a segurança de trânsito quando se aproximar de passeatas.","220, I","Condutor","191,54","Gravíssima",""
"6262-2","Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito quando se aproximar de aglomerações de pessoas.","220, I","Condutor","191,54","Gravíssima",""
"6262-3","Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito quando se aproximar de cortejos.","220, I","Condutor","191,54","Gravíssima",""
"6262-4","Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito quando se aproximar de prestitos.","220, I","Condutor","191,54","Gravíssima",""
"6262-5","Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito quando se aproximar de desfiles.","220, I","Condutor","191,54","Gravíssima",""
"6394-1","Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito nas proximidades de escolas.","220 , XIV","Condutor","191,54","Gravíssima",""
"6394-2","Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito nas proximidades de hospitais.","220 , XIV","Condutor","191,54","Gravíssima",""
"6394-3","Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito nas proximidades de estações de embarque e desembarque de passageiros","220 , XIV","Condutor","191,54","Gravíssima",""
"6394-4","Deixar de reduzir a velocidade do veículo de forma compatível com a segurança do trânsito onde haja intensa de movimentação de pedestres.","220 , XIV","Condutor","191,54","Gravíssima",""
"6556-1","Conduzir o veículo com o lacre violado.","230, I","Proprietário","191,54","Gravíssima","remoção do veículo"
"6556-2","Conduzir o veículo com o lacre falsificado.","230, I","Proprietário","191,54","Gravíssima","remoção do veículo"
